ID;Travel_Date;Traveler;Home_Office;Origin_Airport_Code;Destination_Airport_Code;City_Pair_Names;Carrier_Code;Carrier_Name;Cabin_Class;Advance_Purchase_Group;International_Domestic;Customer_related_Trip;Opportunity_ID;Opportunity_Size ID;Opportunity_Size;Carrier_Alliance;Mileage;Ticket_Amount;Lost_over_Low_Fare_Amount;Carbon_Footprint;Count
7629;08/05/2017;E272781;PHL;ATL;GSP;Atlanta - Greenville;Delta;Delta;Y;2-6 days;Domestic;Yes;OPP0057379;O1;250k - 1m;SkyTeam;154;255,91;0;81,09;1
7629;08/05/2017;E272781;PHL;STL;ATL;St. Louis - Atlanta;Delta;Delta;Y;2-6 days;Domestic;Yes;OPP0057379;O1;250k - 1m;SkyTeam;483;255,91;0;207,26;1
53568;05/04/2017;E272781;PHL;PHL;MDW;Philadelphia - Chicago;Southwest;Southwest;Y;7-13 days;Domestic;Yes;OPP0057379;O1;250k - 1m;No Alliance;666;677,26;0;285,95;1
53568;04/04/2017;E272781;PHL;MDW;PHL;Chicago - Philadelphia;Southwest;Southwest;Y;7-13 days;Domestic;Yes;OPP0057379;O1;250k - 1m;No Alliance;666;677,26;355,27;285,95;1
50148;11/04/2017;E129555;PHL;SFO;PHL;San Francisco - Philadelphia;American Airlines;American Airlines;Y;>20 days;Domestic;Yes;OPP0146317;O2;0 - 50k;OneWorld;2517;541,81;0;980,07;1
50148;07/04/2017;E129555;PHL;PHL;SFO;Philadelphia - San Francisco;American Airlines;American Airlines;Y;>20 days;Domestic;Yes;OPP0146317;O2;0 - 50k;OneWorld;2517;541,81;0;980,07;1
56597;28/04/2017;E030449;LHR;LIS;LHR;Lisbon - London;TAP Portugal;TAP Portugal;Y;14-20 days;International;Yes;OPP0146985;O3;1m - 10m;StarAlliance;973;206,85;0;417,53;1
56597;26/04/2017;E030449;LHR;LHR;LIS;London - Lisbon;TAP Portugal;TAP Portugal;Y;14-20 days;International;Yes;OPP0146985;O3;1m - 10m;StarAlliance;973;206,85;0;417,53;1
56419;19/04/2017;E244478;PHL;BOS;PDX;Boston - Portland;American Airlines;American Airlines;Y;14-20 days;Domestic;Yes;OPP0151634;O3;1m - 10m;OneWorld;2532;318,4;15,38;985,92;1
55591;04/04/2017;E244478;PHL;BOS;JFK;Boston - New York;Delta;Delta;Y;0-1 days;Domestic;Yes;OPP0151634;O3;1m - 10m;SkyTeam;186;242,61;0;98,58;1
55591;04/04/2017;E244478;PHL;JFK;IAD;New York - Washington;Delta;Delta;Y;0-1 days;Domestic;Yes;OPP0151634;O3;1m - 10m;SkyTeam;228;242,61;0;119,78;1
46599;15/04/2017;E219034;LHR;BUD;LHR;Budapest - London;British Airways;British Airways;Y;>20 days;International;Yes;OPP0178135;O2;0 - 50k;OneWorld;924;919,88;0;396,89;1
46599;15/04/2017;E219034;LHR;LHR;IAD;London - Washington;British Airways;British Airways;Y;>20 days;International;Yes;OPP0178135;O2;0 - 50k;OneWorld;3672;919,88;0;1428,96;1
46599;11/04/2017;E219034;LHR;LHR;BUD;London - Budapest;British Airways;British Airways;Y;>20 days;International;Yes;OPP0178135;O2;0 - 50k;OneWorld;924;153,47;0;396,89;1
46599;06/04/2017;E219034;LHR;IAD;LHR;Washington - London;British Airways;British Airways;Y;>20 days;International;Yes;OPP0178135;O2;0 - 50k;OneWorld;3672;919,88;0;1428,96;1
56341;12/05/2017;E230427;SFO;BWI;DEN;Baltimore - Denver;United;United;Y;>20 days;Domestic;Yes;OPP0187223;O2;0 - 50k;StarAlliance;1489;563,32;0;579,93;1
56341;12/05/2017;E230427;SFO;DEN;JAC;Denver - Jackson;United;United;Y;>20 days;Domestic;Yes;OPP0187223;O2;0 - 50k;StarAlliance;405;563,32;0;173,72;1
56341;10/05/2017;E230427;SFO;DEN;BWI;Denver - Baltimore;United;United;Y;>20 days;Domestic;Yes;OPP0187223;O2;0 - 50k;StarAlliance;1489;563,32;0;579,93;1
56341;10/05/2017;E230427;SFO;JAC;DEN;Jackson - Denver;United;United;Y;>20 days;Domestic;Yes;OPP0187223;O2;0 - 50k;StarAlliance;405;563,32;0;173,72;1
48180;12/04/2017;E230427;SFO;DEN;JAC;Denver - Jackson;United;United;Y;>20 days;Domestic;Yes;OPP0187223;O2;0 - 50k;StarAlliance;405;829,55;0;173,72;1
48180;12/04/2017;E230427;SFO;EWR;DEN;Newark - Denver;United;United;Y;>20 days;Domestic;Yes;OPP0187223;O2;0 - 50k;StarAlliance;1603;829,55;0;624;1
48180;10/04/2017;E230427;SFO;DEN;EWR;Denver - Newark;United;United;Y;>20 days;Domestic;Yes;OPP0187223;O2;0 - 50k;StarAlliance;1603;829,55;0;624;1
48180;10/04/2017;E230427;SFO;DEN;EWR;Denver - Newark;United;United;Y;>20 days;Domestic;Yes;OPP0187223;O2;0 - 50k;StarAlliance;1603;707,33;0;624;1
